"index","click","Moderate Farmers/Nov-11","Casual Winners/Nov-11","Casual Losers/Nov-11","Forum /Nov-11","Moderate/Nov-11","Hardcore/Nov-11","Casual Winners/Dec-11","Casual Losers/Dec-11","Moderate Farmers/Dec-11","Hardcore/Dec-11","Forum/Dec-11","Moderate/Dec-11","Moderate Losers/Jan-12","Moderate Miscellanea/Jan-12","Casual Losers/Jan-12","Hardcore/Jan-12","Casual Winners/Jan-12","Forum /Jan-12","Moderate Farmers/Jan-12","Moderate Farmers/Feb-12","Moderate Losers/Feb-12","Casual Losers/Feb-12","Hardcore/Feb-12","Casual Winners/Feb-12","Forum /Feb-12","Casual Forum/Feb-12","Casual Forum/Mar-12","Casual Winners/Mar-12","Moderate Miscellanea/Mar-12","Casual Losers/Mar-12","Hardcore/Mar-12","Forum /Mar-12","Moderate Farmers/Mar-12","Casual Winners/Apr-12","Casual Losers/Apr-12","Casual Forum/Apr-12","Moderate Miscellanea/Apr-12","Moderate Farmers/Apr-12","Forum /Apr-12","Hardcore/Apr-12","Hardcore/May-12","Casual Forum/May-12","Casual Winners/May-12","Casual Losers/May-12","Moderate Miscellanea/May-12","Forum /May-12","Moderate Farmers/May-12","Hardcore/Jun-12","Moderate Losers/Jun-12","Moderate Miscellanea/Jun-12","Casual Losers/Jun-12","Moderate Farmers/Jun-12","Forum /Jun-12","Casual Winners/Jun-12","Casual Winners/Jul-12","Moderate Miscellanea/Jul-12","Moderate Farmers/Jul-12","Casual Losers/Jul-12","Forum /Jul-12","Hardcore/Jul-12","Moderate Losers/Jul-12","Hardcore/Aug-12","Casual Losers/Aug-12","Casual Winners/Aug-12","Moderate Losers/Aug-12","Moderate Winners/Aug-12","Moderate Farmers/Aug-12","Casual Winners/Sep-12","Moderate Farmers/Sep-12","Hardcore/Sep-12","Casual Losers/Sep-12","Moderate Losers/Sep-12","Forum /Sep-12","Hardcore/Oct-12","Moderate Farmers/Oct-12","Casual Losers/Oct-12","Forum /Oct-12","Casual Winners/Oct-12","Moderate Miscellanea/Oct-12","Casual/Nov-12","Hardcore/Nov-12","Moderate Farmers/Nov-12","Moderate Miscellanea/Nov-12","Forum /Nov-12","Casual/Dec-12","Moderate Farmers/Dec-12","Moderate Miscellanea/Dec-12","Hardcore/Dec-12","Forum/Dec-12"
"21","Moderate Losers/Feb-12","38","45","46","6","48","72","39","47","117","79","34","59","81","90","60","76","65","19","35","0","588","0","0","0","0","0","6","68","70","74","49","6","45","51","48","9","63","38","11","56","64","13","50","28","50","10","49","46","25","44","33","26","13","28","36","34","27","19","7","41","23","34","18","27","24","24","19","35","26","38","15","16","9","34","20","7","6","26","16","20","30","30","13","4","20","8","10","16","1"
"22","Casual Losers/Feb-12","15","42","33","1","36","32","42","62","59","37","15","37","29","45","58","24","63","12","24","0","0","476","0","0","0","0","7","47","29","45","12","1","15","38","27","5","31","17","4","18","15","4","27","31","39","8","14","18","22","20","30","4","6","18","28","17","7","17","3","17","9","15","23","7","14","5","9","15","12","14","8","15","1","11","18","5","6","19","10","16","17","15","11","2","14","6","2","4","2"
"23","Hardcore/Feb-12","49","47","36","15","101","263","39","46","122","357","57","58","53","94","31","444","24","45","49","0","0","0","872","0","0","0","8","52","133","28","375","19","73","48","36","3","108","61","28","309","265","11","37","33","79","27","73","183","58","55","31","28","40","40","37","63","34","26","19","144","35","121","25","31","37","30","34","35","48","105","13","28","18","102","46","13","15","29","30","33","93","39","27","13","17","24","18","39","3"
"24","Casual Winners/Feb-12","46","77","50","8","53","57","79","67","89","82","34","74","43","85","75","56","99","12","65","0","0","0","0","711","0","0","7","82","30","48","23","3","31","78","44","6","31","28","5","25","26","10","55","37","44","7","36","19","17","29","32","23","14","43","28","23","18","20","7","21","12","18","14","24","12","22","16","20","21","17","14","19","4","18","19","8","5","14","8","16","25","14","5","3","8","5","2","5","3"
"25","Forum /Feb-12","5","8","3","23","16","45","5","3","19","37","56","5","4","14","3","33","1","72","4","0","0","0","0","0","142","0","12","5","16","3","40","36","17","9","5","12","16","8","43","34","32","12","5","7","14","37","6","29","8","12","7","5","34","4","13","8","7","11","24","21","8","26","9","7","11","13","9","8","11","18","4","5","15","14","9","4","15","8","7","6","12","11","7","11","5","2","2","10","1"
"26","Casual Forum/Feb-12","10","18","6","15","13","15","15","9","12","17","36","8","8","13","5","12","11","37","5","0","0","0","0","0","0","116","24","11","10","9","7","21","2","10","6","18","6","6","20","11","11","15","9","7","8","22","5","9","4","5","4","6","22","9","10","5","5","1","18","8","3","16","2","8","6","7","3","7","6","5","4","2","10","6","8","1","10","6","0","8","8","3","1","4","2","3","0","2","3"
"27","Casual Forum/Mar-12","8","9","2","12","12","12","8","6","12","14","29","8","5","10","4","12","9","29","4","9","6","7","8","7","12","24","107","0","0","0","0","0","0","6","7","19","10","4","25","15","8","20","4","5","10","22","7","8","6","4","4","2","25","12","14","2","4","6","16","9","1","16","2","9","2","4","5","5","2","6","1","5","10","4","2","4","9","4","3","9","5","5","2","7","3","1","0","3","1"
"28","Casual Winners/Mar-12","34","56","36","3","55","71","61","72","79","99","29","52","32","66","44","67","69","22","60","65","68","47","52","82","5","11","0","661","0","0","0","0","0","93","57","6","57","28","10","33","49","8","63","48","55","9","37","36","24","36","43","19","10","45","47","30","16","19","6","40","14","26","17","28","28","25","15","32","29","28","13","15","5","28","23","10","6","18","13","24","27","19","9","6","9","12","6","9","2"
"29","Moderate Miscellanea/Mar-12","26","35","31","9","60","76","32","35","85","104","34","32","28","81","40","99","38","24","26","67","70","29","133","30","16","10","0","0","498","0","0","0","0","57","38","7","126","35","12","87","83","15","43","49","61","15","41","49","29","56","28","22","23","42","28","49","14","22","8","43","25","39","17","23","32","32","12","30","32","32","13","22","9","27","19","13","10","26","27","23","35","24","14","5","16","10","18","10","1"
"30","Casual Losers/Mar-12","28","32","34","3","36","36","40","42","65","53","13","34","27","55","49","34","43","12","22","30","74","45","28","48","3","9","0","0","0","471","0","0","0","58","47","6","46","22","6","28","29","9","54","29","44","11","21","23","21","26","40","6","10","28","26","19","13","26","6","20","19","18","20","13","15","16","10","22","12","19","10","7","10","15","15","12","6","12","7","15","12","9","13","3","13","5","2","5","1"
"31","Hardcore/Mar-12","44","46","28","22","57","209","26","32","81","283","57","45","45","52","21","313","28","41","50","81","49","12","375","23","40","7","0","0","0","0","723","0","0","28","21","7","81","66","36","346","255","8","32","22","64","28","85","178","56","47","33","30","39","28","31","55","37","14","12","152","33","128","16","23","31","39","37","33","50","110","10","23","15","98","51","7","15","26","22","28","91","33","28","9","14","24","19","40","3"
"32","Forum /Mar-12","9","5","6","15","11","32","3","2","15","30","35","7","4","8","0","29","7","41","2","7","6","1","19","3","36","21","0","0","0","0","0","109","0","4","3","7","14","7","41","29","18","13","3","3","13","34","3","17","6","9","4","4","32","8","9","7","0","4","23","17","6","22","1","9","6","15","7","6","6","8","4","3","19","9","7","2","14","4","3","7","9","10","1","7","5","5","1","4","2"
"33","Moderate Farmers/Mar-12","38","45","24","10","44","88","34","32","56","120","24","75","38","38","25","111","20","19","59","123","45","15","73","31","17","2","0","0","0","0","0","0","443","50","28","5","46","80","12","48","50","11","49","13","34","13","68","51","20","23","25","28","15","25","25","17","28","5","10","36","15","30","15","18","7","20","10","16","24","27","6","8","5","26","23","5","3","15","8","13","23","25","8","3","7","9","4","10","1"
"34","Casual Winners/Apr-12","46","65","38","10","45","60","77","68","71","76","25","67","32","53","60","58","70","18","47","54","51","38","48","78","9","10","6","93","57","58","28","4","50","714","0","0","0","0","0","0","37","12","102","46","57","8","46","29","27","49","42","14","11","72","49","24","16","23","7","30","16","30","19","29","18","32","12","38","32","22","11","14","7","16","29","12","8","24","17","21","21","29","11","5","10","10","3","3","3"
"35","Casual Losers/Apr-12","24","34","28","8","37","33","36","63","50","47","17","31","35","30","46","33","42","6","28","20","48","27","36","44","5","6","7","57","38","47","21","3","28","0","508","0","0","0","0","0","31","14","57","48","42","3","24","32","20","17","37","14","6","38","34","19","19","15","6","16","17","11","14","20","18","13","15","17","24","15","11","11","2","17","15","6","0","13","8","18","11","12","8","3","9","6","5","3","2"
"36","Casual Forum/Apr-12","7","7","5","11","11","13","12","7","9","16","30","4","6","15","6","6","6","23","4","6","9","5","3","6","12","18","19","6","7","6","7","7","5","0","0","93","0","0","0","0","7","21","4","10","3","22","4","12","5","4","6","7","23","9","11","9","6","4","22","7","1","9","1","8","8","7","2","1","8","1","3","2","12","0","2","1","13","4","3","4","5","2","3","4","1","1","1","3","2"
"37","Moderate Miscellanea/Apr-12","41","45","28","12","67","94","46","42","105","114","41","38","33","82","36","101","47","37","30","66","63","31","108","31","16","6","10","57","126","46","81","14","46","0","0","0","588","0","0","0","122","15","62","45","124","11","49","68","51","73","60","21","20","30","43","68","20","27","8","63","28","50","25","24","31","43","22","40","36","48","14","18","10","46","27","12","6","32","27","29","43","22","28","7","23","11","13","16","2"
"38","Moderate Farmers/Apr-12","50","45","22","9","29","57","34","31","51","88","29","61","26","41","13","87","45","15","44","73","38","17","61","28","8","6","4","28","35","22","66","7","80","0","0","0","0","444","0","0","51","13","47","29","40","4","66","43","20","28","18","33","13","38","25","19","26","8","8","28","22","19","17","17","14","20","14","17","29","16","13","9","5","17","26","5","2","14","9","22","18","23","11","2","11","8","5","3","0"
"39","Forum /Apr-12","14","14","9","23","12","46","7","9","28","45","46","5","12","11","3","39","7","52","7","11","11","4","28","5","43","20","25","10","12","6","36","41","12","0","0","0","0","0","168","0","35","16","5","4","19","68","9","31","16","11","7","5","56","10","14","8","8","6","35","33","10","38","6","12","13","10","11","6","18","16","4","8","20","8","10","10","22","13","3","12","16","18","7","9","9","6","4","10","5"
"40","Hardcore/Apr-12","45","51","32","15","68","215","30","31","75","303","50","50","42","65","27","303","25","36","52","81","56","18","309","25","34","11","15","33","87","28","346","29","48","0","0","0","0","0","0","780","312","8","37","27","92","34","97","200","50","58","30","38","41","45","39","70","46","31","12","161","29","138","25","32","36","43","42","37","49","128","16","26","15","110","55","7","13","35","30","32","110","37","18","16","21","24","22","42","1"
"41","Hardcore/May-12","61","52","32","17","72","225","28","41","77","308","57","62","57","77","30","280","33","37","51","79","64","15","265","26","32","11","8","49","83","29","255","18","50","37","31","7","122","51","35","312","827","0","0","0","0","0","0","316","79","75","32","45","39","35","44","90","55","22","20","204","58","168","20","41","52","58","51","39","63","152","18","32","26","134","56","9","18","38","39","39","134","44","33","13","25","23","27","53","2"
"42","Casual Forum/May-12","14","13","10","9","16","17","13","9","19","20","39","12","8","10","14","18","12","22","6","10","13","4","11","10","12","15","20","8","15","9","8","13","11","12","14","21","15","13","16","8","0","140","0","0","0","0","0","14","9","10","9","5","38","16","17","13","7","9","23","7","3","10","12","7","6","12","4","6","9","3","3","2","12","1","9","5","8","8","2","7","1","4","2","8","6","5","2","1","1"
"43","Casual Winners/May-12","40","69","43","8","56","63","68","69","77","69","24","69","36","56","49","53","67","10","42","48","50","27","37","55","5","9","4","63","43","54","32","3","49","102","57","4","62","47","5","37","0","0","740","0","0","0","0","16","27","42","62","21","7","92","64","33","27","23","3","11","25","19","31","31","19","37","11","38","27","18","16","12","2","17","27","12","4","18","21","21","9","22","15","2","17","13","5","4","1"
"44","Casual Losers/May-12","25","36","24","7","42","38","41","36","59","45","20","48","28","42","37","36","39","12","21","24","28","31","33","37","7","7","5","48","49","29","22","3","13","46","48","10","45","29","4","27","0","0","0","480","0","0","0","18","28","24","53","12","4","51","28","18","16","21","3","24","19","14","17","21","19","15","10","18","23","13","9","12","4","10","16","10","3","17","7","20","13","11","5","1","12","5","3","2","2"
"45","Moderate Miscellanea/May-12","40","57","43","11","54","81","54","52","94","107","35","44","31","57","45","89","38","31","49","53","50","39","79","44","14","8","10","55","61","44","64","13","34","57","42","3","124","40","19","92","0","0","0","0","613","0","0","56","68","96","58","24","18","66","56","78","21","40","12","54","25","54","33","40","27","44","15","46","40","40","26","18","11","30","30","15","9","27","33","46","30","29","17","8","14","8","10","12","3"
"46","Forum /May-12","14","13","9","20","21","54","8","9","28","51","51","14","11","12","5","41","11","51","7","16","10","8","27","7","37","22","22","9","15","11","28","34","13","8","3","22","11","4","68","34","0","0","0","0","0","193","0","55","10","15","3","8","83","5","14","8","9","8","45","50","8","49","8","13","12","10","13","9","25","21","8","9","23","13","13","5","27","10","8","10","25","14","7","12","6","7","6","10","10"
"47","Moderate Farmers/May-12","63","47","20","8","36","76","43","38","52","126","16","79","43","31","25","96","37","15","53","77","49","14","73","36","6","5","7","37","41","21","85","3","68","46","24","4","49","66","9","97","0","0","0","0","0","0","537","58","25","38","43","55","8","45","31","19","42","21","7","47","24","35","15","12","19","34","30","23","39","31","10","17","4","35","42","9","4","24","8","16","31","29","11","3","12","5","3","8","1"
"48","Hardcore/Jun-12","57","42","28","18","54","188","28","25","75","254","49","53","47","52","17","222","27","31","43","72","46","18","183","19","29","9","8","36","49","23","178","17","51","29","32","12","68","43","31","200","316","14","16","18","56","55","58","665","0","0","0","0","0","0","22","83","56","23","15","273","52","189","18","25","42","52","57","28","70","149","13","28","21","121","53","10","15","40","38","31","122","45","26","11","19","20","25","47","6"
"49","Moderate Losers/Jun-12","29","28","22","8","36","57","27","35","37","76","23","33","28","38","18","59","24","15","26","31","25","22","58","17","8","4","6","24","29","21","56","6","20","27","20","5","51","20","16","50","79","9","27","28","68","10","25","0","383","0","0","0","0","0","29","49","19","25","3","35","41","38","19","18","31","22","16","23","24","31","7","18","6","30","22","7","4","21","14","16","26","22","6","2","9","9","3","8","0"
"50","Moderate Miscellanea/Jun-12","28","33","19","10","46","50","28","27","72","59","29","33","17","46","23","65","31","19","23","34","44","20","55","29","12","5","4","36","56","26","47","9","23","49","17","4","73","28","11","58","75","10","42","24","96","15","38","0","0","394","0","0","0","0","56","72","22","30","7","28","30","40","27","24","35","42","13","42","35","28","13","14","5","25","23","12","6","26","26","28","25","23","21","7","17","8","9","3","2"
"51","Casual Losers/Jun-12","27","39","38","3","40","44","47","46","45","64","19","33","45","27","33","31","34","19","23","28","33","30","31","32","7","4","4","43","28","40","33","4","25","42","37","6","60","18","7","30","32","9","62","53","58","3","43","0","0","0","439","0","0","0","44","22","20","43","7","16","16","11","25","27","16","18","12","24","21","14","14","12","1","14","23","13","6","17","4","21","14","11","14","2","11","5","3","5","4"
"52","Moderate Farmers/Jun-12","26","26","10","7","22","25","25","14","28","53","10","34","21","17","9","40","22","10","25","43","26","4","28","23","5","6","2","19","22","6","30","4","28","14","14","7","21","33","5","38","45","5","21","12","24","8","55","0","0","0","0","274","0","0","20","12","29","11","9","25","16","17","12","14","10","15","14","14","21","16","6","10","3","17","22","1","3","10","3","7","17","14","1","2","7","5","2","4","1"
"53","Forum /Jun-12","11","13","12","16","24","57","12","9","27","47","62","15","12","19","11","48","13","51","13","13","13","6","40","14","34","22","25","10","23","10","39","32","15","11","6","23","20","13","56","41","39","38","7","4","18","83","8","0","0","0","0","0","221","0","15","22","8","10","71","55","8","61","9","16","14","17","17","13","24","32","6","5","35","19","18","5","32","13","11","14","19","19","8","18","9","9","8","13","6"
